"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"RPi_Pico_SMD_TH";1;"PICO_RP2040";;;
2;"SW49";"SW_Kailh_1.25u_PCB";1;"Caps";;;
3;"SW19";"SW_Kailh_1.00u_PCB";1;"Esc";;;
4;"SW13";"SW_Kailh_1.00u_PCB";1;"6";;;
5;"SW64";"SW_Kailh_1.00u_PCB";1;"Z";;;
6;"SW27";"SW_Kailh_1.00u_PCB";1;"Y";;;
7;"SW63";"SW_Kailh_1.00u_PCB";1;"X";;;
8;"SW31";"SW_Kailh_1.00u_PCB";1;"W";;;
9;"SW61";"SW_Kailh_1.00u_PCB";1;"V";;;
10;"SW20";"SW_Kailh_1.00u_PCB";1;"U";;;
11;"SW28";"SW_Kailh_1.00u_PCB";1;"T";;;
12;"SW40";"SW_Kailh_1.00u_PCB";1;"*";;;
13;"SW56";"SW_Kailh_1.00u_PCB";1;"/";;;
14;"SW38";"SW_Kailh_1.00u_PCB";1;";";;;
15;"SW47";"SW_Kailh_1.00u_PCB";1;"S";;;
16;"SW29";"SW_Kailh_1.00u_PCB";1;"R";;;
17;"SW32";"SW_Kailh_1.00u_PCB";1;"Q";;;
18;"SW39";"SW_Kailh_1.00u_PCB";1;"+";;;
19;"SW55";"SW_Kailh_1.00u_PCB";1;".";;;
20;"SW23";"SW_Kailh_1.00u_PCB";1;"P";;;
21;"SW22";"SW_Kailh_1.00u_PCB";1;"O";;;
22;"SW51";"SW_Kailh_1.00u_PCB";1;"N";;;
23;"SW53";"SW_Kailh_1.00u_PCB";1;"M";;;
24;"SW5";"SW_Kailh_1.00u_PCB";1;"<";;;
25;"SW37";"SW_Kailh_1.00u_PCB";1;"L";;;
26;"SW36";"SW_Kailh_1.00u_PCB";1;"K";;;
27;"SW35";"SW_Kailh_1.00u_PCB";1;"J";;;
28;"SW57";"SW_Kailh_1.00u_PCB";1;"FUJI";;;
29;"SW21";"SW_Kailh_1.00u_PCB";1;"I";;;
30;"SW43";"SW_Kailh_1.00u_PCB";1;"H";;;
31;"SW6";"SW_Kailh_1.00u_PCB";1;">";;;
32;"SW44";"SW_Kailh_1.00u_PCB";1;"G";;;
33;"SW25";"SW_Kailh_1.00u_PCB";1;"=";;;
34;"SW30";"SW_Kailh_1.00u_PCB";1;"E";;;
35;"SW7";"SW_Kailh_1.00u_PCB";1;"Del";;;
36;"SW24";"SW_Kailh_1.00u_PCB";1;"-";;;
37;"SW46";"SW_Kailh_1.00u_PCB";1;"D";;;
38;"SW54";"SW_Kailh_1.00u_PCB";1;",";;;
39;"SW62";"SW_Kailh_1.00u_PCB";1;"C";;;
40;"SW8";"SW_Kailh_1.00u_PCB";1;"Break";;;
41;"SW60";"SW_Kailh_1.00u_PCB";1;"B";;;
42;"SW48";"SW_Kailh_1.00u_PCB";1;"A";;;
43;"SW3";"SW_Kailh_1.00u_PCB";1;"9";;;
44;"SW2";"SW_Kailh_1.00u_PCB";1;"8";;;
45;"SW1";"SW_Kailh_1.00u_PCB";1;"7";;;
46;"SW14";"SW_Kailh_1.00u_PCB";1;"5";;;
47;"SW15";"SW_Kailh_1.00u_PCB";1;"4";;;
48;"SW16";"SW_Kailh_1.00u_PCB";1;"3";;;
49;"SW17";"SW_Kailh_1.00u_PCB";1;"2";;;
50;"SW18";"SW_Kailh_1.00u_PCB";1;"1";;;
51;"SW4";"SW_Kailh_1.00u_PCB";1;"0";;;
52;"SW45";"SW_Kailh_1.00u_PCB";1;"F";;;
53;"J2";"Molex_200528-0260_1x26-1MP_P1.00mm_Horizontal";1;"Conn_01x26";;;
